Item,RowDesc,Past Due
966-2859-010,Plan Delivery Qty,122
966-3200-004,Plan Build Remaining,70
966-3200-004,Plan Delivery Qty,2
966-3200-104,Plan Build Remaining,
966-3200-104,Plan Delivery Qty,
966-3648-001,Plan Build Remaining,7693
966-3648-001,Plan Delivery Qty,11996
966-3648-001=R,Plan Build Remaining,
966-3648-001=R,Plan Delivery Qty,
966-4011-002,Plan Build Remaining,192
966-4011-002,Plan Delivery Qty,31
966-4325-004,Plan Build Remaining,
966-4325-004,Plan Delivery Qty,
966-4333-003,Plan Build Remaining,384
966-4333-003,Plan Delivery Qty,
966-4516-007,Plan Build Remaining,8428
966-4516-007,Plan Delivery Qty,1668
966-4518-006,Plan Build Remaining,4464
966-4518-006,Plan Delivery Qty,1378
966-4550-012,Plan Build Remaining,
966-4550-012,Plan Delivery Qty,
966-4560-002,Plan Build Remaining,
966-4560-002,Plan Delivery Qty,
966-4662-006,Plan Build Remaining,0
966-4662-006,Plan Delivery Qty,
966-4974-003,Plan Build Remaining,0
966-4974-003,Plan Delivery Qty,
966-5704-005,Plan Build Remaining,
966-5704-005,Plan Delivery Qty,
966-5704-015,Plan Build Remaining,
966-5704-015,Plan Delivery Qty,
966-5851-003,Plan Build Remaining,0
966-5851-003,Plan Delivery Qty,2
966-6305-002,Plan Build Remaining,28
966-6305-002,Plan Delivery Qty,
966-6305-003,Plan Build Remaining,
966-6305-003,Plan Delivery Qty,
966-6305-202,Plan Build Remaining,
966-6305-202,Plan Delivery Qty,
966-6307-002,Plan Build Remaining,
966-6307-002,Plan Delivery Qty,
966-6307-102,Plan Build Remaining,14
966-6307-102,Plan Delivery Qty,
966-6307-202,Plan Build Remaining,
966-6307-202,Plan Delivery Qty,
966-6309-002,Plan Build Remaining,29
966-6309-002,Plan Delivery Qty,14
966-6584-004,Plan Build Remaining,
966-6584-004,Plan Delivery Qty,
966-6584-014,Plan Build Remaining,50
966-6584-014,Plan Delivery Qty,50
966-6586-004,Plan Build Remaining,0
966-6586-004,Plan Delivery Qty,100
966-6586-005,Plan Build Remaining,111
966-6586-005,Plan Delivery Qty,1
966-6969-004,Plan Build Remaining,0
966-6969-004,Plan Delivery Qty,10
966-6971-005,Plan Build Remaining,43
966-6971-005,Plan Delivery Qty,1
966-6973-003,Plan Build Remaining,2
966-6973-003,Plan Delivery Qty,15
966-6973-004,Plan Build Remaining,120
966-6973-004,Plan Delivery Qty,
966-6973-103,Plan Build Remaining,144
966-6973-103,Plan Delivery Qty,
966-6973-104,Plan Build Remaining,418
966-6973-104,Plan Delivery Qty,22
966-7297-302,Plan Build Remaining,
966-7297-302,Plan Delivery Qty,
966-7400-011,Plan Build Remaining,2
966-7400-011,Plan Delivery Qty,2
966-7715-004,Plan Build Remaining,
966-7715-004,Plan Delivery Qty,
966-7715-104,Plan Build Remaining,-1
966-7715-104,Plan Delivery Qty,1
