Item,RowDesc,Monday of Week,Weekday,mMatrixValue
766-0020-002,Plan Build Qty,2025-08-11 00:00:00,Fri,
766-0020-002,Plan Build Qty,2025-08-11 00:00:00,Sat,
766-0020-002,Plan Build Qty,2025-08-18 00:00:00,Sun,
766-0020-002,Plan Build Qty,2025-08-18 00:00:00,Mon,
766-0020-002,Plan Build Qty,2025-08-18 00:00:00,Tue,
766-0020-002,Plan Build Qty,2025-08-18 00:00:00,Wed,
766-0020-002,Plan Build Qty,2025-08-18 00:00:00,Thu,
766-0020-002,Plan Build Qty,2025-08-18 00:00:00,Fri,
766-0020-002,Plan Delivery Qty,2025-07-21 00:00:00,Sat,
766-0020-002,Plan Delivery Qty,2025-07-28 00:00:00,Sun,
766-0020-002,Plan Delivery Qty,2025-07-28 00:00:00,Mon,2
766-0020-002,Plan Delivery Qty,2025-07-28 00:00:00,Tue,
766-0020-002,Plan Delivery Qty,2025-07-28 00:00:00,Wed,
766-0020-002,Plan Delivery Qty,2025-07-28 00:00:00,Thu,
766-0020-002,Plan Delivery Qty,2025-07-28 00:00:00,Fri,
766-0020-002,Plan Delivery Qty,2025-07-28 00:00:00,Sat,
766-0020-002,Plan Delivery Qty,2025-08-04 00:00:00,Sun,
766-0020-002,Plan Delivery Qty,2025-08-04 00:00:00,Mon,
766-0020-002,Plan Delivery Qty,2025-08-04 00:00:00,Tue,
766-0020-002,Plan Delivery Qty,2025-08-04 00:00:00,Wed,
766-0020-002,Plan Delivery Qty,2025-08-04 00:00:00,Thu,
766-0020-002,Plan Delivery Qty,2025-08-04 00:00:00,Fri,
766-0020-002,Plan Delivery Qty,2025-08-04 00:00:00,Sat,
766-0020-002,Plan Delivery Qty,2025-08-11 00:00:00,Sun,
766-0020-002,Plan Delivery Qty,2025-08-11 00:00:00,Mon,
766-0020-002,Plan Delivery Qty,2025-08-11 00:00:00,Tue,
766-0020-002,Plan Delivery Qty,2025-08-11 00:00:00,Wed,
766-0020-002,Plan Delivery Qty,2025-08-11 00:00:00,Thu,
766-0020-002,Plan Delivery Qty,2025-08-11 00:00:00,Fri,
766-0020-002,Plan Delivery Qty,2025-08-11 00:00:00,Sat,
766-0020-002,Plan Delivery Qty,2025-08-18 00:00:00,Sun,
766-0020-002,Plan Delivery Qty,2025-08-18 00:00:00,Mon,
766-0020-002,Plan Delivery Qty,2025-08-18 00:00:00,Tue,
766-0020-002,Plan Delivery Qty,2025-08-18 00:00:00,Wed,
766-0020-002,Plan Delivery Qty,2025-08-18 00:00:00,Thu,
766-0020-002,Plan Delivery Qty,2025-08-18 00:00:00,Fri,
766-0080-001,Plan Build Qty,2025-07-21 00:00:00,Sat,
766-0080-001,Plan Build Qty,2025-07-28 00:00:00,Sun,
766-0080-001,Plan Build Qty,2025-07-28 00:00:00,Mon,7
766-0080-001,Plan Build Qty,2025-07-28 00:00:00,Tue,
766-0080-001,Plan Build Qty,2025-07-28 00:00:00,Wed,
766-0080-001,Plan Build Qty,2025-07-28 00:00:00,Thu,
766-0080-001,Plan Build Qty,2025-07-28 00:00:00,Fri,
766-0080-001,Plan Build Qty,2025-07-28 00:00:00,Sat,
766-0080-001,Plan Build Qty,2025-08-04 00:00:00,Sun,
766-0080-001,Plan Build Qty,2025-08-04 00:00:00,Mon,
766-0080-001,Plan Build Qty,2025-08-04 00:00:00,Tue,
766-0080-001,Plan Build Qty,2025-08-04 00:00:00,Wed,
766-0080-001,Plan Build Qty,2025-08-04 00:00:00,Thu,
766-0080-001,Plan Build Qty,2025-08-04 00:00:00,Fri,
766-0080-001,Plan Build Qty,2025-08-04 00:00:00,Sat,
766-0080-001,Plan Build Qty,2025-08-11 00:00:00,Sun,
766-0080-001,Plan Build Qty,2025-08-11 00:00:00,Mon,
766-0080-001,Plan Build Qty,2025-08-11 00:00:00,Tue,
766-0080-001,Plan Build Qty,2025-08-11 00:00:00,Wed,
766-0080-001,Plan Build Qty,2025-08-11 00:00:00,Thu,
766-0080-001,Plan Build Qty,2025-08-11 00:00:00,Fri,
766-0080-001,Plan Build Qty,2025-08-11 00:00:00,Sat,
766-0080-001,Plan Build Qty,2025-08-18 00:00:00,Sun,
766-0080-001,Plan Build Qty,2025-08-18 00:00:00,Mon,
766-0080-001,Plan Build Qty,2025-08-18 00:00:00,Tue,
766-0080-001,Plan Build Qty,2025-08-18 00:00:00,Wed,
766-0080-001,Plan Build Qty,2025-08-18 00:00:00,Thu,
766-0080-001,Plan Build Qty,2025-08-18 00:00:00,Fri,
766-0080-001,Plan Delivery Qty,2025-07-21 00:00:00,Sat,
766-0080-001,Plan Delivery Qty,2025-07-28 00:00:00,Sun,
766-0080-001,Plan Delivery Qty,2025-07-28 00:00:00,Mon,7
766-0080-001,Plan Delivery Qty,2025-07-28 00:00:00,Tue,
