Item,RowDesc,Past Due
987-2618-421,Plan Delivery Qty,1
987-3594-100,Plan Build Remaining,0
987-3594-100,Plan Delivery Qty,9
987-3594-110,Plan Build Remaining,60
987-3594-110,Plan Delivery Qty,167
987-3594-200,Plan Build Remaining,-1
987-3594-200,Plan Delivery Qty,80
987-3594-210,Plan Build Remaining,
987-3594-210,Plan Delivery Qty,
987-4633-001,Plan Build Remaining,
987-4633-001,Plan Delivery Qty,
987-4633-001+TL,Plan Build Remaining,0
987-4633-001+TL,Plan Delivery Qty,13
987-6323-001,Plan Build Remaining,-17
987-6323-001,Plan Delivery Qty,17
987-7173-080,Plan Build Remaining,2
987-7173-080,Plan Delivery Qty,8
987-7173-090,Plan Build Remaining,
987-7173-090,Plan Delivery Qty,
987-7173-180,Plan Build Remaining,
987-7173-180,Plan Delivery Qty,
987-7173-882,Plan Build Remaining,
987-7173-882,Plan Delivery Qty,
987-7173-882+SA,Plan Build Remaining,
987-7173-882+SA,Plan Delivery Qty,
987-7173-884,Plan Build Remaining,73
987-7173-884,Plan Delivery Qty,139
987-7173-884+SA,Plan Build Remaining,0
987-7173-884+SA,Plan Delivery Qty,97
987-7173-885,Plan Build Remaining,0
987-7173-885,Plan Delivery Qty,5
987-7173-885+SA,Plan Build Remaining,0
987-7173-885+SA,Plan Delivery Qty,7
987-8574-730,Plan Build Remaining,
987-8574-730,Plan Delivery Qty,
987-8574-763,Plan Build Remaining,
987-8574-763,Plan Delivery Qty,
987-8760-002,Plan Build Remaining,0
987-8760-002,Plan Delivery Qty,36
987-8760-002+TL,Plan Build Remaining,0
987-8760-002+TL,Plan Delivery Qty,16
987-8770-002,Plan Build Remaining,130
987-8770-002,Plan Delivery Qty,50
987-9055-202,Plan Build Remaining,0
987-9055-202,Plan Delivery Qty,241
987-9055-202+TL,Plan Build Remaining,1
987-9055-202+TL,Plan Delivery Qty,154
987-9658-001,Plan Build Remaining,72
987-9658-001,Plan Delivery Qty,20
987-9658-001+TL,Plan Build Remaining,
987-9658-001+TL,Plan Delivery Qty,
987-9658-101,Plan Build Remaining,
987-9658-101,Plan Delivery Qty,
987-9658-101+TL,Plan Build Remaining,
987-9658-101+TL,Plan Delivery Qty,
987-9705-001,Plan Build Remaining,146
987-9705-001,Plan Delivery Qty,393
987-9705-001+TL,Plan Build Remaining,9
987-9705-001+TL,Plan Delivery Qty,136
987-9705-012,Plan Build Remaining,0
987-9705-012,Plan Delivery Qty,891
987-9705-012+TL,Plan Build Remaining,4
987-9705-012+TL,Plan Delivery Qty,487
987-9705-112,Plan Build Remaining,
987-9705-112,Plan Delivery Qty,
ASM-0032-001,Plan Build Remaining,
ASM-0032-001,Plan Delivery Qty,
ASM-0032-001+SA,Plan Build Remaining,
ASM-0032-001+SA,Plan Delivery Qty,
ASM-0032-005,Plan Build Remaining,
ASM-0032-005,Plan Delivery Qty,
ASM-0902-200,Plan Build Remaining,
ASM-0902-200,Plan Delivery Qty,
CCA-000C-001,Plan Build Remaining,8
CCA-000C-001,Plan Delivery Qty,
CCA-0012-002,Plan Build Remaining,
CCA-0012-002,Plan Delivery Qty,
CCA-0015-001,Plan Build Remaining,
CCA-0015-001,Plan Delivery Qty,
CCA-0018-400,Plan Build Remaining,
CCA-0018-400,Plan Delivery Qty,
CCA-0019-401,Plan Build Remaining,
CCA-0019-401,Plan Delivery Qty,
CCA-002B-001,Plan Build Remaining,0
CCA-002B-001,Plan Delivery Qty,5
CCA-004B-301,Plan Build Remaining,1
CCA-004B-301,Plan Delivery Qty,1
CCA-0059-001,Plan Build Remaining,
CCA-0059-001,Plan Delivery Qty,
CCA-005D-002,Plan Build Remaining,
CCA-005D-002,Plan Delivery Qty,
NON-STD-BUILD,Plan Build Remaining,
NON-STD-BUILD,Plan Delivery Qty,
