Item,RowDesc,Past Due
966-8303-003,Plan Build Remaining,
966-8303-003,Plan Delivery Qty,
966-8460-002,Plan Build Remaining,
966-8460-002,Plan Delivery Qty,
966-8492-004,Plan Build Remaining,
966-8492-004,Plan Delivery Qty,
966-8736-001,Plan Build Remaining,
966-8736-001,Plan Delivery Qty,
966-8736-002,Plan Build Remaining,
966-8736-002,Plan Delivery Qty,
983-9834-111,Plan Build Remaining,140
983-9834-111,Plan Delivery Qty,105
983-9834-111+SA,Plan Build Remaining,9
983-9834-111+SA,Plan Delivery Qty,86
983-9834-212,Plan Build Remaining,117
983-9834-212,Plan Delivery Qty,69
983-9834-212+SA,Plan Build Remaining,0
983-9834-212+SA,Plan Delivery Qty,82
983-9834-922,Plan Build Remaining,
983-9834-922,Plan Delivery Qty,
987-0018-654,Plan Build Remaining,112
987-0018-654,Plan Delivery Qty,97
987-0018-654+PR,Plan Build Remaining,3
987-0018-654+PR,Plan Delivery Qty,2
987-0018-661,Plan Build Remaining,463
987-0018-661,Plan Delivery Qty,2323
987-0018-661+PR,Plan Build Remaining,3238
987-0018-661+PR,Plan Delivery Qty,3721
987-0019-544,Plan Build Remaining,
987-0019-544,Plan Delivery Qty,
987-0267-001,Plan Build Remaining,500
987-0267-001,Plan Delivery Qty,
987-0268-001,Plan Build Remaining,200
987-0268-001,Plan Delivery Qty,
987-1856-023,Plan Build Remaining,
987-1856-023,Plan Delivery Qty,
987-2094-004,Plan Build Remaining,22
987-2094-004,Plan Delivery Qty,139
987-2434-300,Plan Build Remaining,325
987-2434-300,Plan Delivery Qty,904
987-2618-011,Plan Build Remaining,
987-2618-011,Plan Delivery Qty,
987-2618-021,Plan Build Remaining,71
987-2618-021,Plan Delivery Qty,72
987-2618-021+TL,Plan Build Remaining,22
987-2618-021+TL,Plan Delivery Qty,28
987-2618-121,Plan Build Remaining,130
987-2618-121,Plan Delivery Qty,131
987-2618-121+TL,Plan Build Remaining,4
987-2618-121+TL,Plan Delivery Qty,32
987-2618-221,Plan Build Remaining,94
987-2618-221,Plan Delivery Qty,10
987-2618-221+TL,Plan Build Remaining,30
987-2618-221+TL,Plan Delivery Qty,18
987-2618-321,Plan Build Remaining,278
987-2618-321,Plan Delivery Qty,105
987-2618-321+TL,Plan Build Remaining,62
987-2618-321+TL,Plan Delivery Qty,141
987-3594-100,Plan Build Remaining,0
987-3594-100,Plan Delivery Qty,63
987-3594-110,Plan Build Remaining,16
987-3594-110,Plan Delivery Qty,96
987-3594-200,Plan Build Remaining,
987-3594-200,Plan Delivery Qty,
987-4633-001,Plan Build Remaining,
987-4633-001,Plan Delivery Qty,
987-4633-001+TL,Plan Build Remaining,
