Item,RowDesc,Monday of Week,Weekday,mMatrixValue
766-0020-002,Plan Delivery Qty,2025-12-15 00:00:00,Sat,
766-0020-002,Plan Delivery Qty,2025-12-22 00:00:00,Sun,
766-0020-002,Plan Delivery Qty,2025-12-22 00:00:00,Mon,
766-0020-002,Plan Delivery Qty,2025-12-22 00:00:00,Tue,
766-0020-002,Plan Delivery Qty,2025-12-22 00:00:00,Wed,
766-0020-002,Plan Delivery Qty,2025-12-22 00:00:00,Thu,
766-0020-002,Plan Delivery Qty,2025-12-22 00:00:00,Fri,
766-0101-001,Plan Build Qty,2025-11-17 00:00:00,Sat,
766-0101-001,Plan Build Qty,2025-11-24 00:00:00,Sun,
766-0101-001,Plan Build Qty,2025-11-24 00:00:00,Mon,
766-0101-001,Plan Build Qty,2025-11-24 00:00:00,Tue,
766-0101-001,Plan Build Qty,2025-11-24 00:00:00,Wed,
766-0101-001,Plan Build Qty,2025-11-24 00:00:00,Thu,
766-0101-001,Plan Build Qty,2025-11-24 00:00:00,Fri,
766-0101-001,Plan Build Qty,2025-11-24 00:00:00,Sat,
766-0101-001,Plan Build Qty,2025-12-01 00:00:00,Sun,
766-0101-001,Plan Build Qty,2025-12-01 00:00:00,Mon,
766-0101-001,Plan Build Qty,2025-12-01 00:00:00,Tue,
766-0101-001,Plan Build Qty,2025-12-01 00:00:00,Wed,
766-0101-001,Plan Build Qty,2025-12-01 00:00:00,Thu,
766-0101-001,Plan Build Qty,2025-12-01 00:00:00,Fri,
766-0101-001,Plan Build Qty,2025-12-01 00:00:00,Sat,
766-0101-001,Plan Build Qty,2025-12-08 00:00:00,Sun,
766-0101-001,Plan Build Qty,2025-12-08 00:00:00,Mon,
766-0101-001,Plan Build Qty,2025-12-08 00:00:00,Tue,
766-0101-001,Plan Build Qty,2025-12-08 00:00:00,Wed,
766-0101-001,Plan Build Qty,2025-12-08 00:00:00,Thu,
766-0101-001,Plan Build Qty,2025-12-08 00:00:00,Fri,
766-0101-001,Plan Build Qty,2025-12-08 00:00:00,Sat,
766-0101-001,Plan Build Qty,2025-12-15 00:00:00,Sun,
766-0101-001,Plan Build Qty,2025-12-15 00:00:00,Mon,
766-0101-001,Plan Build Qty,2025-12-15 00:00:00,Tue,
766-0101-001,Plan Build Qty,2025-12-15 00:00:00,Wed,
766-0101-001,Plan Build Qty,2025-12-15 00:00:00,Thu,
766-0101-001,Plan Build Qty,2025-12-15 00:00:00,Fri,
766-0101-001,Plan Build Qty,2025-12-15 00:00:00,Sat,
766-0101-001,Plan Build Qty,2025-12-22 00:00:00,Sun,
766-0101-001,Plan Build Qty,2025-12-22 00:00:00,Mon,
766-0101-001,Plan Build Qty,2025-12-22 00:00:00,Tue,
766-0101-001,Plan Build Qty,2025-12-22 00:00:00,Wed,
766-0101-001,Plan Build Qty,2025-12-22 00:00:00,Thu,
766-0101-001,Plan Build Qty,2025-12-22 00:00:00,Fri,
