Item,RowDesc,Past Due
987-7173-884,Plan Delivery Qty,157
987-7173-884+SA,Plan Build Remaining,0
987-7173-884+SA,Plan Delivery Qty,158
987-7173-885,Plan Build Remaining,0
987-7173-885,Plan Delivery Qty,5
987-7173-885+SA,Plan Build Remaining,0
987-7173-885+SA,Plan Delivery Qty,4
987-7799-001,Plan Build Remaining,
987-7799-001,Plan Delivery Qty,
987-7799-002,Plan Build Remaining,
987-7799-002,Plan Delivery Qty,
987-8574-730,Plan Build Remaining,
987-8574-730,Plan Delivery Qty,
987-8574-763,Plan Build Remaining,
987-8574-763,Plan Delivery Qty,
987-8760-002,Plan Build Remaining,0
987-8760-002,Plan Delivery Qty,6
987-8760-002+TL,Plan Build Remaining,
987-8760-002+TL,Plan Delivery Qty,
987-8770-002,Plan Build Remaining,66
987-8770-002,Plan Delivery Qty,15
987-9055-202,Plan Build Remaining,0
987-9055-202,Plan Delivery Qty,366
987-9055-202+TL,Plan Build Remaining,
987-9055-202+TL,Plan Delivery Qty,
987-9658-001,Plan Build Remaining,2
987-9658-001,Plan Delivery Qty,3
987-9658-001+TL,Plan Build Remaining,1
987-9658-001+TL,Plan Delivery Qty,2
987-9658-101,Plan Build Remaining,
987-9658-101,Plan Delivery Qty,
987-9658-101+TL,Plan Build Remaining,
987-9658-101+TL,Plan Delivery Qty,
987-9705-001,Plan Build Remaining,0
987-9705-001,Plan Delivery Qty,12
987-9705-001+TL,Plan Build Remaining,0
987-9705-001+TL,Plan Delivery Qty,1
987-9705-012,Plan Build Remaining,12
987-9705-012,Plan Delivery Qty,654
987-9705-012+TL,Plan Build Remaining,0
987-9705-012+TL,Plan Delivery Qty,
987-9705-112,Plan Build Remaining,0
987-9705-112,Plan Delivery Qty,6
987-9968-155,Plan Build Remaining,
987-9968-155,Plan Delivery Qty,
987-9968-175,Plan Build Remaining,2
987-9968-175,Plan Delivery Qty,2
CCA-000D-001,Plan Build Remaining,2
CCA-000D-001,Plan Delivery Qty,2
CCA-0012-002,Plan Build Remaining,2
CCA-0012-002,Plan Delivery Qty,1
CCA-0018-400,Plan Build Remaining,
CCA-0018-400,Plan Delivery Qty,
CCA-002B-001,Plan Build Remaining,
CCA-002B-001,Plan Delivery Qty,
CCA-0038-001,Plan Build Remaining,
CCA-0038-001,Plan Delivery Qty,
CCA-003D-001,Plan Build Remaining,
CCA-003D-001,Plan Delivery Qty,
CCA-004A-001,Plan Build Remaining,8
CCA-004A-001,Plan Delivery Qty,8
CCA-004B-001,Plan Build Remaining,
CCA-004B-001,Plan Delivery Qty,
CCA-004C-001,Plan Build Remaining,
CCA-004C-001,Plan Delivery Qty,
CCA-004D-102,Plan Build Remaining,
CCA-004D-102,Plan Delivery Qty,
CCA-0069-001,Plan Build Remaining,
CCA-0069-001,Plan Delivery Qty,
NON-STD-BUILD,Plan Build Remaining,
NON-STD-BUILD,Plan Delivery Qty,
