Item Delivery,RowDesc,Monday of Week,Weekday,mMatrixValue
822-0452-005,Plan Delivery Qty,17-Feb-25,Fri,
822-0453-005,Plan Build Qty,20-Jan-25,Fri,
822-0453-005,Plan Build Qty,20-Jan-25,Sat,
822-0453-005,Plan Build Qty,27-Jan-25,Sun,
822-0453-005,Plan Build Qty,27-Jan-25,Mon,
822-0453-005,Plan Build Qty,27-Jan-25,Tue,
822-0453-005,Plan Build Qty,27-Jan-25,Wed,
822-0453-005,Plan Build Qty,27-Jan-25,Thu,
822-0453-005,Plan Build Qty,27-Jan-25,Fri,
822-0453-005,Plan Build Qty,27-Jan-25,Sat,
822-0453-005,Plan Build Qty,3-Feb-25,Sun,
822-0453-005,Plan Build Qty,3-Feb-25,Mon,
822-0453-005,Plan Build Qty,3-Feb-25,Tue,
822-0453-005,Plan Build Qty,3-Feb-25,Wed,
822-0453-005,Plan Build Qty,3-Feb-25,Thu,
822-0453-005,Plan Build Qty,3-Feb-25,Fri,
822-0453-005,Plan Build Qty,3-Feb-25,Sat,
822-0453-005,Plan Build Qty,10-Feb-25,Sun,
822-0453-005,Plan Build Qty,10-Feb-25,Mon,
822-0453-005,Plan Build Qty,10-Feb-25,Tue,
822-0453-005,Plan Build Qty,10-Feb-25,Wed,
822-0453-005,Plan Build Qty,10-Feb-25,Thu,
822-0453-005,Plan Build Qty,10-Feb-25,Fri,
822-0453-005,Plan Build Qty,10-Feb-25,Sat,
822-0453-005,Plan Build Qty,17-Feb-25,Sun,
822-0453-005,Plan Build Qty,17-Feb-25,Mon,
822-0453-005,Plan Build Qty,17-Feb-25,Tue,
822-0453-005,Plan Build Qty,17-Feb-25,Wed,
822-0453-005,Plan Build Qty,17-Feb-25,Thu,
822-0453-005,Plan Build Qty,17-Feb-25,Fri,
822-0453-005,Plan Delivery Qty,20-Jan-25,Fri,
822-0453-005,Plan Delivery Qty,20-Jan-25,Sat,
822-0453-005,Plan Delivery Qty,27-Jan-25,Sun,
822-0453-005,Plan Delivery Qty,27-Jan-25,Mon,
822-0453-005,Plan Delivery Qty,27-Jan-25,Tue,
822-0453-005,Plan Delivery Qty,27-Jan-25,Wed,
822-0453-005,Plan Delivery Qty,27-Jan-25,Thu,
822-0453-005,Plan Delivery Qty,27-Jan-25,Fri,
822-0453-005,Plan Delivery Qty,27-Jan-25,Sat,
822-0453-005,Plan Delivery Qty,3-Feb-25,Sun,
822-0453-005,Plan Delivery Qty,3-Feb-25,Mon,
822-0453-005,Plan Delivery Qty,3-Feb-25,Tue,
