"MSIB_INVENTORY_ITEM_ID","MSIB_SEGMENT1","MP_PLANNER_CODE","MP_ORGANIZATION_ID","MP_DESCRIPTION"
12503837,"685-8216-010","160",1213,"Phillips, Hannah"
12504431,"685-8120-001","160",1213,"Phillips, Hannah"
12506448,"685-8123-001","160",1213,"Phillips, Hannah"
12506449,"685-8124-001","160",1213,"Phillips, Hannah"
12502683,"676-9989-002","160",1213,"Phillips, Hannah"
12502724,"676-9989-010","160",1213,"Phillips, Hannah"
12944672,"PWB-0028-001","160",1213,"Phillips, Hannah"
17117,"HW-450","160",1213,"Phillips, Hannah"
88496,"M39003/01-2357","160",1213,"Phillips, Hannah"
12527939,"986-0410-001","160",1213,"Phillips, Hannah"
12543819,"987-9055-202+VC","160",1213,"Phillips, Hannah"
12496003,"987-5200-013","160",1213,"Phillips, Hannah"
12541529,"983-8155-001","160",1213,"Phillips, Hannah"
12550696,"987-2166-111","160",1213,"Phillips, Hannah"
12518541,"833-6526-690","160",1213,"Phillips, Hannah"
12518731,"831-6001-001","160",1213,"Phillips, Hannah"
12498819,"184-0401-660","160",1213,"Phillips, Hannah"
12500311,"184-6344-150","160",1213,"Phillips, Hannah"
12515512,"391-0001-141","160",1213,"Phillips, Hannah"
12515513,"391-0001-141=R","160",1213,"Phillips, Hannah"
12506033,"601-1633-002","182",1213,"Rust, Shelby"
12504958,"685-4824-001","367",1213,"Canning, Melissa"
12541683,"687-6553-001","367",1213,"Canning, Melissa"
12502983,"687-6553-001+SP","367",1213,"Canning, Melissa"
12503787,"685-7498-001","367",1213,"Canning, Melissa"
12505497,"685-8259-001","367",1213,"Canning, Melissa"
12503899,"676-2504-042","367",1213,"Canning, Melissa"
12503819,"676-2507-040","367",1213,"Canning, Melissa"
12503380,"676-2508-040","367",1213,"Canning, Melissa"
12502632,"676-2509-040","367",1213,"Canning, Melissa"
12502672,"676-2509-040+SP","367",1213,"Canning, Melissa"
12503365,"687-9162-001","367",1213,"Canning, Melissa"
12503153,"676-2510-040","367",1213,"Canning, Melissa"
12503820,"676-9868-001","367",1213,"Canning, Melissa"
12503863,"676-9868-002","367",1213,"Canning, Melissa"
12507122,"659-5372-030","367",1213,"Canning, Melissa"
12507123,"659-5372-030+SP","367",1213,"Canning, Melissa"
12549134,"995-8762-001","367",1213,"Canning, Melissa"
12545194,"988-5945-001","367",1213,"Canning, Melissa"
12523997,"983-9834-002","367",1213,"Canning, Melissa"
12543032,"987-8501-102","367",1213,"Canning, Melissa"
12523401,"966-1211-001","367",1213,"Canning, Melissa"
12524302,"966-6776-001","367",1213,"Canning, Melissa"
12529070,"966-3262-001","367",1213,"Canning, Melissa"
12546436,"987-9705-101+VC","367",1213,"Canning, Melissa"
12525414,"966-1841-003","367",1213,"Canning, Melissa"
12552209,"987-1287-001","367",1213,"Canning, Melissa"
12501516,"601-0832-001","367",1213,"Canning, Melissa"
12501519,"601-0832-001+MP","367",1213,"Canning, Melissa"
12513967,"372-2330-130","367",1213,"Canning, Melissa"
12516551,"391-0005-050","367",1213,"Canning, Melissa"
12503823,"601-1507-002","367",1213,"Canning, Melissa"
12516065,"384-0034-029","367",1213,"Canning, Melissa"
12543039,"DOD-A-82720-2OZ","429",1213,"McNamara, Phaedra"
12524205,"983-9834-904","429",1213,"McNamara, Phaedra"
12522006,"984-5804-001","465",1213,"Brau, Olivia"
12546662,"987-5013-001","465",1213,"Brau, Olivia"
12497532,"155-00002-000","500",1213,"Willey, Kristin"
12554058,"810-0254-444001","510",1213,"Fitzsimmons, Shawn"
12521304,"810-0524-001","510",1213,"Fitzsimmons, Shawn"
12553692,"810-0545-157401","510",1213,"Fitzsimmons, Shawn"
12524737,"984-1833-036","510",1213,"Fitzsimmons, Shawn"
12530726,"984-1833-037","510",1213,"Fitzsimmons, Shawn"
12529195,"984-1937-021","510",1213,"Fitzsimmons, Shawn"
12529237,"984-1937-023","510",1213,"Fitzsimmons, Shawn"
12525940,"984-3702-022","510",1213,"Fitzsimmons, Shawn"
12525941,"984-3702-023","510",1213,"Fitzsimmons, Shawn"
12525942,"984-3702-024","510",1213,"Fitzsimmons, Shawn"
12526033,"984-3702-025","510",1213,"Fitzsimmons, Shawn"
12524279,"984-5289-010","510",1213,"Fitzsimmons, Shawn"
12524280,"984-5289-011","510",1213,"Fitzsimmons, Shawn"
12524281,"984-5289-011A","510",1213,"Fitzsimmons, Shawn"
12524282,"984-5289-011B","510",1213,"Fitzsimmons, Shawn"
12523594,"984-5289-011F","510",1213,"Fitzsimmons, Shawn"
12553247,"984-5289-012","510",1213,"Fitzsimmons, Shawn"
12526390,"984-0953-029","510",1213,"Fitzsimmons, Shawn"
12526391,"984-0955-017","510",1213,"Fitzsimmons, Shawn"
12525043,"984-0955-018","510",1213,"Fitzsimmons, Shawn"
12541751,"984-0955-019","510",1213,"Fitzsimmons, Shawn"
12541752,"984-0955-020","510",1213,"Fitzsimmons, Shawn"
12531596,"984-2662-006","510",1213,"Fitzsimmons, Shawn"
12496154,"984-2662-007A","510",1213,"Fitzsimmons, Shawn"
12529627,"984-5289-012A","510",1213,"Fitzsimmons, Shawn"
12553367,"984-5289-012B","510",1213,"Fitzsimmons, Shawn"
12554002,"984-5289-012C","510",1213,"Fitzsimmons, Shawn"
12551297,"984-5289-012D","510",1213,"Fitzsimmons, Shawn"
12523595,"984-5289-051","510",1213,"Fitzsimmons, Shawn"
12523596,"984-5289-051A","510",1213,"Fitzsimmons, Shawn"
12523593,"984-5289-051B","510",1213,"Fitzsimmons, Shawn"
12523597,"984-5289-099C","510",1213,"Fitzsimmons, Shawn"
12523598,"984-5289-403A","510",1213,"Fitzsimmons, Shawn"
12525073,"984-2662-202","510",1213,"Fitzsimmons, Shawn"
12528051,"984-3630-022","510",1213,"Fitzsimmons, Shawn"
12528052,"984-3630-023","510",1213,"Fitzsimmons, Shawn"
12528053,"984-3630-024","510",1213,"Fitzsimmons, Shawn"
12528054,"984-3630-025","510",1213,"Fitzsimmons, Shawn"
12528055,"984-3630-026","510",1213,"Fitzsimmons, Shawn"
12528056,"984-3630-027","510",1213,"Fitzsimmons, Shawn"
12524470,"984-3848-133A","510",1213,"Fitzsimmons, Shawn"
12531569,"984-4588-008","510",1213,"Fitzsimmons, Shawn"
12495602,"984-4588-009","510",1213,"Fitzsimmons, Shawn"
12523599,"984-5289-409A","510",1213,"Fitzsimmons, Shawn"
12523600,"984-5319-001","510",1213,"Fitzsimmons, Shawn"
12523601,"984-5319-001A","510",1213,"Fitzsimmons, Shawn"
12523641,"984-5334-001","510",1213,"Fitzsimmons, Shawn"
12525089,"984-1105-021","510",1213,"Fitzsimmons, Shawn"
12525839,"984-3095-008","510",1213,"Fitzsimmons, Shawn"
12525840,"984-3095-009","510",1213,"Fitzsimmons, Shawn"
12525880,"984-3095-009B","510",1213,"Fitzsimmons, Shawn"
12525294,"984-3095-010","510",1213,"Fitzsimmons, Shawn"
12524452,"984-3151-008","510",1213,"Fitzsimmons, Shawn"
12524364,"984-3151-009","510",1213,"Fitzsimmons, Shawn"
12526122,"984-3158-010","510",1213,"Fitzsimmons, Shawn"
12527738,"984-3240-007","510",1213,"Fitzsimmons, Shawn"
12527736,"984-3240-008","510",1213,"Fitzsimmons, Shawn"
12527781,"984-3240-011","510",1213,"Fitzsimmons, Shawn"
12528105,"984-4596-005","510",1213,"Fitzsimmons, Shawn"
12528106,"984-4596-006","510",1213,"Fitzsimmons, Shawn"
12528107,"984-4596-007","510",1213,"Fitzsimmons, Shawn"
12521959,"984-5397-001","510",1213,"Fitzsimmons, Shawn"
12524065,"984-5397-002","510",1213,"Fitzsimmons, Shawn"
12524066,"984-5576-004","510",1213,"Fitzsimmons, Shawn"
12524067,"984-5576-005A","510",1213,"Fitzsimmons, Shawn"
12553025,"984-5576-005B","510",1213,"Fitzsimmons, Shawn"
12524064,"984-5576-214","510",1213,"Fitzsimmons, Shawn"
12524068,"984-5576-214A","510",1213,"Fitzsimmons, Shawn"
12524069,"984-5576-305","510",1213,"Fitzsimmons, Shawn"
12523435,"984-1834-031","510",1213,"Fitzsimmons, Shawn"
12524363,"984-3151-009C","510",1213,"Fitzsimmons, Shawn"
12524368,"984-3151-010","510",1213,"Fitzsimmons, Shawn"
12524410,"984-3151-011","510",1213,"Fitzsimmons, Shawn"
12526123,"984-3158-011","510",1213,"Fitzsimmons, Shawn"
12526162,"984-3158-012","510",1213,"Fitzsimmons, Shawn"
12526121,"984-3158-013","510",1213,"Fitzsimmons, Shawn"
12526163,"984-3158-014","510",1213,"Fitzsimmons, Shawn"
12526164,"984-3158-015","510",1213,"Fitzsimmons, Shawn"
12526165,"984-3158-016","510",1213,"Fitzsimmons, Shawn"
12526166,"984-3158-017","510",1213,"Fitzsimmons, Shawn"
12530973,"984-3158-019","510",1213,"Fitzsimmons, Shawn"
12527782,"984-3240-012","510",1213,"Fitzsimmons, Shawn"
12527785,"984-3240-055","510",1213,"Fitzsimmons, Shawn"
12527834,"984-4596-008","510",1213,"Fitzsimmons, Shawn"
12527837,"984-4606-001","510",1213,"Fitzsimmons, Shawn"
12524070,"984-5576-314","510",1213,"Fitzsimmons, Shawn"
12524071,"984-5576-314A","510",1213,"Fitzsimmons, Shawn"
12524072,"984-5583-001","510",1213,"Fitzsimmons, Shawn"
12524111,"984-5608-001A","510",1213,"Fitzsimmons, Shawn"
12524112,"984-5625-001","510",1213,"Fitzsimmons, Shawn"
12521962,"984-5632-001","510",1213,"Fitzsimmons, Shawn"
12521963,"984-5633-001","510",1213,"Fitzsimmons, Shawn"
12521964,"984-5656-001B","510",1213,"Fitzsimmons, Shawn"
12527301,"984-3241-007","510",1213,"Fitzsimmons, Shawn"
12527298,"984-3241-055","510",1213,"Fitzsimmons, Shawn"
12527358,"984-4606-003A","510",1213,"Fitzsimmons, Shawn"
12526599,"984-4606-004","510",1213,"Fitzsimmons, Shawn"
12521965,"984-5674-001","510",1213,"Fitzsimmons, Shawn"
12521966,"984-5675-001","510",1213,"Fitzsimmons, Shawn"
12541858,"984-5744-018","510",1213,"Fitzsimmons, Shawn"
12541859,"984-5744-019","510",1213,"Fitzsimmons, Shawn"
12541860,"984-5744-020","510",1213,"Fitzsimmons, Shawn"
12522007,"984-6002-001","510",1213,"Fitzsimmons, Shawn"
12530517,"984-6002-002","510",1213,"Fitzsimmons, Shawn"
12524929,"984-3151-058A","510",1213,"Fitzsimmons, Shawn"
12528607,"984-3151-111","510",1213,"Fitzsimmons, Shawn"
12527120,"984-4607-001","510",1213,"Fitzsimmons, Shawn"
12522008,"984-6013-001","510",1213,"Fitzsimmons, Shawn"
12522009,"984-6023-001","510",1213,"Fitzsimmons, Shawn"
12522010,"984-6068-103","510",1213,"Fitzsimmons, Shawn"
12528406,"984-6238-001","510",1213,"Fitzsimmons, Shawn"
12529704,"984-6283-001","510",1213,"Fitzsimmons, Shawn"
12552475,"984-6345-001","510",1213,"Fitzsimmons, Shawn"
12524779,"984-2343-012","510",1213,"Fitzsimmons, Shawn"
12524781,"984-2343-013","510",1213,"Fitzsimmons, Shawn"
12521906,"984-3662-103","510",1213,"Fitzsimmons, Shawn"
12529277,"984-4607-002","510",1213,"Fitzsimmons, Shawn"
12527046,"984-1831-024","510",1213,"Fitzsimmons, Shawn"
12526825,"984-1831-025","510",1213,"Fitzsimmons, Shawn"
12530577,"984-2343-014","510",1213,"Fitzsimmons, Shawn"
12528200,"984-2343-015","510",1213,"Fitzsimmons, Shawn"
12528398,"984-2343-114","510",1213,"Fitzsimmons, Shawn"
12525936,"984-3629-020","510",1213,"Fitzsimmons, Shawn"
12525937,"984-3629-021","510",1213,"Fitzsimmons, Shawn"
12525938,"984-3629-022","510",1213,"Fitzsimmons, Shawn"
12526047,"984-4509-007","510",1213,"Fitzsimmons, Shawn"
12529279,"984-4607-003","510",1213,"Fitzsimmons, Shawn"
12529283,"984-4607-004","510",1213,"Fitzsimmons, Shawn"
12529284,"984-4607-005","510",1213,"Fitzsimmons, Shawn"
12525148,"984-2216-028","510",1213,"Fitzsimmons, Shawn"
12525351,"984-3629-023","510",1213,"Fitzsimmons, Shawn"
12525352,"984-3629-024","510",1213,"Fitzsimmons, Shawn"
12525353,"984-3629-025","510",1213,"Fitzsimmons, Shawn"
12529876,"984-3629-026","510",1213,"Fitzsimmons, Shawn"
12521957,"984-4707-022","510",1213,"Fitzsimmons, Shawn"
12524509,"984-4707-122","510",1213,"Fitzsimmons, Shawn"
12524508,"984-4707-722","510",1213,"Fitzsimmons, Shawn"
12524553,"984-5178-001","510",1213,"Fitzsimmons, Shawn"
12526041,"984-4577-011","510",1213,"Fitzsimmons, Shawn"
12526042,"984-4577-012","510",1213,"Fitzsimmons, Shawn"
12526043,"984-4577-013","510",1213,"Fitzsimmons, Shawn"
12524555,"984-5178-001D","510",1213,"Fitzsimmons, Shawn"
